1,交通警察大隊,臺中市大隆路192號,police01,password01
2,第一分局,臺中市西區三民路一段178號,police02,password02
3,大誠分駐所?,臺中市中區成功路302號,police03,password03
4,西區派出所,臺中市西區三民路一段178號,police04,password04
5,民權派出所,臺中市西區民權路258號,police05,password05
6,公益派出所,臺中市西區精誠23街30號?,police06,password06
7,繼中派出所,臺中市中山路9號,police07,password07
8,第二分局,臺中市北區太原路2段228號,police08,password08
9,永興派出所,臺中市北區太原路2段228號1樓,police09,password09
10,育才派出所,臺中市北區三民路3段128號,police10,password10
11,立人派出所,臺中市北區天津路1段2號,police11,password11
12,文正派出所,臺中市北區臺灣大道1段700號,police12,password12
13,臺中公園派出所,臺中市北區雙十路1段65號,police13,password13
14,第三分局,臺中市南區復興路三段159號,police14,password14
15,東區分駐所,臺中市東區進化路16號,police15,password15
16,正義派出所,臺中市南區復興路三段157號,police16,password16
17,立德派出所,臺中市東區振興路6號,police17,password17
18,合作派出所,臺中市東區力行路202號,police18,password18
19,勤工派出所,臺中市南區復興路一段235號,police19,password19
20,健康派出所,臺中市南區美村南路8號,police20,password20
21,第四分局,臺中市南屯區向心南路811號,police21,password21
22,大墩派出所,臺中市南屯區大墩路229號,police22,password22
23,南屯派出所,臺中市南屯區黎明路一段1056號,police23,password23
24,春社派出所,臺中市南屯區忠勇路23之5號,police24,password24
25,黎明派出所,臺中市南屯區干城街2號,police25,password25
26,第五分局,臺中市北屯區崇德路三段2號,police26,password26
27,北屯派出所,臺中市北屯區北屯路106號,police27,password27
28,四平派出所,臺中市北屯區崇德路三段2號,police28,password28
29,水湳派出所,臺中市北屯區中清路2段299號,police29,password29
30,東山派出所,臺中市北屯區東山路2段30號,police30,password30
31,文昌派出所,臺中市北屯區文昌東三街48號,police31,password31
32,松安派出所,臺中市北屯區松竹路2段5號,police32,password32
33,第六分局,臺中市西屯區市政路456號,police33,password33
34,西屯派出所?,臺中市西屯區西墩里西屯路3段40號?,police34,password34
35,何安派出所?,臺中市西屯區甘肅路1段106號?,police35,password35
36,協和派出所,臺中市西屯區福恩里台灣大道4段151號?,police36,password36
37,工業區派出所?,臺中市西屯區工業區5路2-1號,police37,password37
38,市政派出所?,臺中市西屯區市政路456號1樓??,police38,password38
39,永福派出所?,臺中市西屯區福科路370號?,police39,password39
40,豐原分局,臺中市豐原區中山路225號,police40,password40
41,豐原派出所,?臺中市豐原區西安街21號,police41,password41
42,?頂街派出所,?臺中市豐原區東北街1-1號,police42,password42
43,?合作派出所,?臺中市豐原區育英路52號,police43,password43
44,?豐東派出所,?臺中市豐原區豐東路162號,police44,password44
45,?翁子派出所,?臺中市豐原區豐勢路二段10號,police45,password45
46,?潭子分駐所,?臺中市潭子區中山路二段241巷3號,police46,password46
47,?潭北派出所,?臺中市潭子區潭子街三段56號,police47,password47
48,?頭家派出所,?臺中市潭子區得天南街37巷57號,police48,password48
49,?大雅分駐所,?臺中市大雅區永興路168號,police49,password49
50,?馬岡派出所,?臺中市大雅區雅潭路150號,police50,password50
51,?神岡分駐所,?臺中市神岡區神岡路121號,police51,password51
52,?社口派出所,?臺中市神岡區中山路516號,police52,password52
53,?豐洲派出所,?臺中市神岡區豐洲路489號,police53,password53
54,大甲分局,臺中市大甲區文武路1號,police54,password54
55,大甲派出所,臺中市大甲區大甲里文武路1號,police55,password55
56,日南派出所,臺中市大甲區孟春里中山路二段165號,police56,password56
57,西岐派出所,臺中市大甲區西岐里順帆路94號,police57,password57
58,大安分駐所,臺中市大安區中庄里中山南路300號,police58,password58
59,海墘派出所,臺中市大安區海墘里大安港路1160號,police59,password59
60,外埔分駐所,臺中市外埔區大同里六分路350號,police60,password60
61,安定派出所,臺中市外埔區土城里土城路110號,police61,password61
62,月眉派出所,臺中市后里區眉山里三月路19號,police62,password62
63,后里分駐所,臺中市后里區墩西里公安路88號,police63,password63
64,義里派出所,臺中市后里區墩東里三豐路209號,police64,password64
65,泰安派出所,臺中市后里區泰安里安眉路1號,police65,password65
66,大甲交通分隊,臺中市大甲區日南里工二路2號,police66,password66
67,后里交通小隊,臺中市后里區墩西里公安路88號2樓,police67,password67
68,清水分局,臺中市清水區鰲峰路23號,police68,password68
69,梧棲分駐所,臺中市梧棲區中興路210號,police69,password69
70,清水派出所,臺中市清水區鰲峰路23號,police70,password70
71,大楊派出所,臺中市清水區神清路46號,police71,password71
72,沙鹿分駐所,臺中市沙鹿區鎮政路12號,police72,password72
73,安寧派出所,臺中市梧棲區臺灣大道八段970號,police73,password73
